ChangeIndicator,ProductTitle,ProductId,SkuId,SkuTitle,Publisher,SkuDescription,UnitOfMeasure,TermDuration,BillingPlan,Market,Currency,UnitPrice,PricingTierRangeMin,PricingTierRangeMax,EffectiveStartDate,EffectiveEndDate,Tags,ERP Price,Segment,PreviousValues
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,4,Advanced eDiscovery Storage (Education Faculty Pricing),Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1M,Monthly,US,USD,19.2,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,24,Education,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,1,Advanced eDiscovery Storage,Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Annual,US,USD,960,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,1200,Commercial,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,4,Advanced eDiscovery Storage (Education Faculty Pricing),Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Monthly,US,USD,201.6,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,252,Education,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,5,Advanced eDiscovery Storage (Non-Profit Pricing),Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1M,Monthly,US,USD,43.2,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,48,Charity,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,5,Advanced eDiscovery Storage (Non-Profit Pricing),Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Monthly,US,USD,453.6,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,504,Charity,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,1,Advanced eDiscovery Storage,Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1M,Monthly,US,USD,96,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,120,Commercial,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,1,Advanced eDiscovery Storage,Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Monthly,US,USD,1008,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,1260,Commercial,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,5,Advanced eDiscovery Storage (Non-Profit Pricing),Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Annual,US,USD,432,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,480,Charity,
Unchanged,Business Apps (free),CFQ7TTC0LHZ0,1,Business Apps (free),Microsoft Corporation,Includes Microsoft Bookings – business apps from Office 365 that’ll help you run and grow your business. Now available in a free add-on SKU for Office 365 Enterprise E3 and E5 users.,,P1Y,Annual,US,USD,0,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,0,Commercial,
Unchanged,Business Apps (free),CFQ7TTC0LHZ0,1,Business Apps (free),Microsoft Corporation,Includes Microsoft Bookings – business apps from Office 365 that’ll help you run and grow your business. Now available in a free add-on SKU for Office 365 Enterprise E3 and E5 users.,,P1M,Monthly,US,USD,0,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,0,Commercial,
Unchanged,Business Apps (free),CFQ7TTC0LHZ0,1,Business Apps (free),Microsoft Corporation,Includes Microsoft Bookings – business apps from Office 365 that’ll help you run and grow your business. Now available in a free add-on SKU for Office 365 Enterprise E3 and E5 users.,,P1Y,Monthly,US,USD,0,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,0,Commercial,
Unchanged,Cross-Tenant Shared Data Migration,CFQ7TTC131Z8,2,Cross-Tenant Shared Data Migration,Microsoft Corporation,Cross-Tenant Shared Data Migration supports migration of SharePoint sites from one tenant to another.,,P1Y,Annual,US,USD,38.4,,,2025-08-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,48,Commercial,
Unchanged,Cross-Tenant Shared Data Migration,CFQ7TTC131Z8,2,Cross-Tenant Shared Data Migration,Microsoft Corporation,Cross-Tenant Shared Data Migration supports migration of SharePoint sites from one tenant to another.,,P1Y,Monthly,US,USD,40.32,,,2025-08-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,50.4,Commercial,
Unchanged,Cross-tenant user data migration,CFQ7TTC0R2N9,5,Cross-tenant user data migration,Microsoft Corporation,Cross-tenant user data migration is a feature that enables customers to migrate user data from one Microsoft 365 tenant to another.,,P1Y,Annual,US,USD,12,,,2025-02-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,15,Commercial,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,000J,Dataverse Database Capacity add-on (Non-Profit Pricing),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Monthly,US,USD,317.52,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,352.8,Charity,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,2,Dataverse Database Capacity add-on,Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Annual,US,USD,360,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,480,Commercial,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,2,Dataverse Database Capacity add-on,Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Monthly,US,USD,378,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,504,Commercial,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,000N,Dataverse Database Capacity add-on for Government (Governmental Community Cloud Pricing),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1M,Monthly,US,USD,36,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,48,Government,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,000N,Dataverse Database Capacity add-on for Government (Governmental Community Cloud Pricing),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Monthly,US,USD,378,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,504,Government,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,000H,Dataverse Database Capacity add-on (Education Pricing),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Annual,US,USD,252,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,336,Education,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,000J,Dataverse Database Capacity add-on (Non-Profit Pricing),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1M,Monthly,US,USD,30.24,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,33.6,Charity,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,000H,Dataverse Database Capacity add-on (Education Pricing),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1M,Monthly,US,USD,25.2,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,33.6,Education,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,000J,Dataverse Database Capacity add-on (Non-Profit Pricing),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Annual,US,USD,302.4,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,336,Charity,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,000N,Dataverse Database Capacity add-on for Government (Governmental Community Cloud Pricing),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Annual,US,USD,360,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,480,Government,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,000H,Dataverse Database Capacity add-on (Education Pricing),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Monthly,US,USD,264.6,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,352.8,Education,
Unchanged,Dataverse Database Capacity add-on,CFQ7TTC0LHRL,2,Dataverse Database Capacity add-on,Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1M,Monthly,US,USD,36,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,48,Commercial,
Unchanged,Dataverse Database Capacity add-on Tier 2 (Min 1000GB),CFQ7TTC0NCD7,3,Dataverse Database Capacity add-on Tier 2 (Min 1000GB),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB. Tier 2 (Minimum purchase quantity 1000GB)",,P1Y,Monthly,US,USD,283.56,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,378,Commercial,
Unchanged,Dataverse Database Capacity add-on Tier 2 (Min 1000GB),CFQ7TTC0NCD7,3,Dataverse Database Capacity add-on Tier 2 (Min 1000GB),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB. Tier 2 (Minimum purchase quantity 1000GB)",,P1Y,Annual,US,USD,270,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,360,Commercial,
Unchanged,Dataverse Database Capacity add-on Tier 2 (Min 1000GB),CFQ7TTC0NCD7,3,Dataverse Database Capacity add-on Tier 2 (Min 1000GB),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB. Tier 2 (Minimum purchase quantity 1000GB)",,P1M,Monthly,US,USD,27,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,36,Commercial,
Unchanged,Dataverse Database Capacity add-on Tier 2 (Min 1000GB),CFQ7TTC0NCD7,2,Dataverse Database Capacity add-on Tier 2 (Min 1000GB),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB. Tier 2 (Minimum purchase quantity 1000GB)",,P1M,None,US,USD,0,,,2024-01-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License;Trial,0,Commercial,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,1,Dataverse File Capacity add-on,Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Annual,US,USD,18,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,24,Commercial,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,000M,Dataverse File Capacity for Government add-on (Governmental Community Cloud Pricing),Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Annual,US,USD,18,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,24,Government,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,000M,Dataverse File Capacity for Government add-on (Governmental Community Cloud Pricing),Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Monthly,US,USD,18.96,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,25.2,Government,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,000M,Dataverse File Capacity for Government add-on (Governmental Community Cloud Pricing),Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1M,Monthly,US,USD,1.8,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,2.4,Government,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,1,Dataverse File Capacity add-on,Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1M,Monthly,US,USD,1.8,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,2.4,Commercial,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,000H,Dataverse File Capacity add-on (Education Pricing),Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Monthly,US,USD,13.2,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,17.64,Education,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,000G,Dataverse File Capacity add-on (Non-Profit Pricing),Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Annual,US,USD,15.12,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,16.8,Charity,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,000G,Dataverse File Capacity add-on (Non-Profit Pricing),Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Monthly,US,USD,15.84,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,17.64,Charity,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,000H,Dataverse File Capacity add-on (Education Pricing),Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1M,Monthly,US,USD,1.26,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,1.68,Education,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,1,Dataverse File Capacity add-on,Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Monthly,US,USD,18.96,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,25.2,Commercial,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,000G,Dataverse File Capacity add-on (Non-Profit Pricing),Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1M,Monthly,US,USD,1.51,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,1.68,Charity,
Unchanged,Dataverse File Capacity add-on,CFQ7TTC0LHQ3,000H,Dataverse File Capacity add-on (Education Pricing),Microsoft Corporation,"Stores attachments to notes or emails in Dynamics Sales, Customer Service, and Field Service applications and Power Apps. These include documents, image files, videos, PDF files and other crucial files needed in an organization. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Annual,US,USD,12.6,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,16.8,Education,
Unchanged,Dataverse Log Capacity add-on,CFQ7TTC0HBSL,1,Dataverse Log Capacity add-on,Microsoft Corporation,"Records table and column data changes over time for sure in analysis and reporting purposes. Log capacity is designed to help organizations meet their auditing, compliance, and governance policies. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Monthly,US,USD,94.56,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,126,Commercial,
Unchanged,Dataverse Log Capacity add-on,CFQ7TTC0HBSL,000M,Dataverse Log Capacity add-on for Government (Governmental Community Cloud Pricing),Microsoft Corporation,"Records table and column data changes over time for sure in analysis and reporting purposes. Log capacity is designed to help organizations meet their auditing, compliance, and governance policies. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Annual,US,USD,90,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,120,Government,
